OBJECTID_1,OBJECTID,STATE_NAME,STATE_FIPS,STATE_ABBR,SHAPE_Length,SHAPE_Area
1,,Alabama,01,AL,20.5547955742596,12.8818180845865
2,,Alaska,02,AK,318.661158804794,167.784051930275
3,,Arizona,04,AZ,23.9162243229287,28.9213831852071
4,,Arkansas,05,AR,22.0587095739679,13.5855720683918
5,,California,06,CA,55.5201826559879,41.6397655743558
6,,Colorado,08,CO,22.0217145996453,28.0394630039498
7,,Connecticut,09,CT,10.4297408798469,1.39197872722082
8,,Delaware,10,DE,8.05048690540023,0.540429874028214
9,,District of Columbia,11,DC,0.672896441482448,0.0183630714511466
10,,Florida,12,FL,104.691945079215,13.53856899381
11,,Georgia,13,GA,27.0492489296151,14.6473175382256
12,,Hawaii,15,HI,5.63256131847874,0.893097514435178
13,,Idaho,16,ID,31.1423771325881,24.4567260718284
14,,Illinois,17,IL,21.825086074705,15.4088270172754
15,,Indiana,18,IN,17.4260175303608,9.87239565940712
16,,Iowa,19,IA,20.6734157583095,15.8575009649207
17,,Kansas,20,KS,21.4147734890961,22.0046959978366
18,,Kentucky,21,KY,22.625255162311,10.6687142383347
19,,Louisiana,22,LA,58.2882608868433,11.4386986005927
20,,Maine,23,ME,53.4727986411503,9.67288778239794
21,,Maryland,24,MD,68.8725815900082,2.79242085220916
22,,Massachusetts,25,MA,28.6446317545169,2.29334674681932
23,,Michigan,26,MI,64.899185275198,16.985748860474
24,,Minnesota,27,MN,35.8448641038517,25.5357692643624
25,,Mississippi,28,MS,24.3104115159177,11.8816718036206
26,,Missouri,29,MO,24.9467888889523,18.6139165305323
27,,Montana,30,MT,36.6453426238609,45.0787884367661
28,,Nebraska,31,NE,24.283820383045,21.6152505987592
29,,Nevada,32,NV,23.8601748001477,29.9375051165704
30,,New Hampshire,33,NH,11.6824466508042,2.67922275452946
31,,New Jersey,34,NJ,22.2649853833867,2.06785129952915
32,,New Mexico,35,NM,23.6734860217217,30.8928178193617
33,,New York,36,NY,53.3767989393449,13.8927476508132
34,,North Carolina,37,NC,70.9965739438093,12.7092957079802
35,,North Dakota,38,ND,25.1580890678702,21.8397187523085
36,,Ohio,39,OH,19.5272557913077,11.3184851019341
37,,Oklahoma,40,OK,27.3739844052391,18.0053694322875
38,,Oregon,41,OR,29.081117062439,28.1885886342712
39,,Pennsylvania,42,PA,17.7143241356723,12.5342802271586
40,,Rhode Island,44,RI,8.26180453854827,0.304509065733756
41,,South Carolina,45,SC,23.0845216734373,7.81617340084322
42,,South Dakota,46,SD,23.8260985724034,22.5782942201614
43,,Tennessee,47,TN,22.5814148239672,10.8890750637463
44,,Texas,48,TX,94.9734616538565,65.1309109356158
45,,Utah,49,UT,20.0031330221816,22.9749035350464
46,,Vermont,50,VT,9.76103616308873,2.79775911624499
47,,Virginia,51,VA,45.2710757265832,10.6616955263421
48,,Washington,53,WA,61.7261074597252,20.860080757237
49,,West Virginia,54,WV,20.6216070326261,6.49380385131986
50,,Wisconsin,55,WI,28.0781242385657,16.4715152048049
51,,Wyoming,56,WY,21.9987861761289,27.9717224963389
